emp_no,dept_no,from_date,to_date
110022,d001,1995-12-30,1998-12-29
110039,d001,1997-04-09,9999-01-01
110040,d001,1991-12-31,1997-12-29
110041,d001,1993-08-02,1998-08-01
110042,d001,1993-12-30,2000-12-28
110043,d001,1992-11-20,1997-11-19
110044,d001,1995-10-13,2000-10-11
110045,d001,1995-02-04,9999-01-01
110046,d001,1996-12-29,2002-12-28
110047,d001,1993-01-06,1999-01-05
110048,d001,1994-08-10,1999-08-09
110049,d001,1991-06-09,1999-06-07
110050,d001,1998-05-29,2000-05-27
110051,d001,1999-05-29,2000-05-27
110085,d002,1991-12-31,1998-12-29
110114,d002,1991-01-13,9999-01-01
110115,d002,1993-12-30,1999-12-29
110116,d002,1995-08-02,2000-07-31
110117,d002,1995-12-30,2002-12-28
110118,d002,1994-11-20,1999-11-19
110119,d002,1997-10-12,2002-10-11
110120,d002,1997-02-03,9999-01-01
110121,d002,1998-12-29,2004-12-27
110122,d002,1995-01-06,2001-01-04
110123,d002,1996-08-09,2001-08-08
110124,d002,1993-06-08,2001-06-06
110125,d002,1993-12-30,2000-12-28
110126,d002,1999-05-29,2000-05-27
110127,d002,2000-05-29,9999-01-01
110183,d003,1990-12-31,1996-12-29
110228,d003,1992-08-02,1997-08-01
110229,d003,1994-11-25,2001-11-23
110230,d003,1993-10-16,1998-10-15
110231,d003,1996-09-07,2001-09-06
110232,d003,1995-12-31,9999-01-01
110233,d003,1997-11-24,2003-11-23
110234,d003,1993-12-02,1999-12-01
110235,d003,1995-07-06,2000-07-04
110236,d003,1992-05-04,2000-05-02
110237,d003,1992-10-01,2000-09-29
110238,d003,1994-05-15,2000-05-27
110239,d003,1997-05-29,2000-05-27
110240,d003,2000-05-29,9999-01-01
110303,d004,1992-12-30,1999-12-29
110344,d004,1991-11-21,1996-11-19
110386,d004,1994-10-13,1999-10-12
110420,d004,1994-02-04,9999-01-01
110421,d004,1991-01-30,1996-06-07
110422,d004,1990-03-11,1993-07-18
110423,d004,1991-03-23,1996-03-21
110424,d004,1990-07-15,1992-02-11
110425,d004,1992-12-30,2001-12-28
110426,d004,1993-04-25,1998-10-18
110427,d004,1993-03-30,1998-03-29
110428,d004,1996-02-20,2001-02-18
110429,d004,1995-06-14,2004-12-27
110430,d004,1998-05-29,2000-05-27
110511,d005,1991-12-31,2000-12-28
110567,d005,1992-04-25,1997-10-18
110568,d005,1990-01-05,2003-08-20
110569,d005,1994-10-03,1998-10-02
110570,d005,1997-04-07,2001-04-06
110571,d005,1999-02-28,9999-01-01
110572,d005,1993-02-20,1998-02-19
110573,d005,1992-06-14,1994-01-11
110574,d005,1994-11-30,2003-11-28
110575,d005,1995-03-26,2000-09-17
110576,d005,1995-02-28,2000-02-27
110577,d005,1992-01-29,1996-09-27
110578,d005,1999-03-12,2000-01-21
110579,d005,1998-05-29,9999-01-01
110725,d006,1995-12-30,2001-12-28
110765,d006,1992-01-07,1998-01-05
110800,d006,1993-08-10,1998-08-09
110854,d006,1990-06-09,1998-06-07
110855,d006,1994-05-14,2000-05-12
110856,d006,1993-05-12,1998-05-11
110857,d006,1991-03-04,1996-03-02
110858,d006,1990-06-27,1995-06-26
110859,d006,1996-12-29,2002-12-28
110860,d006,1993-01-06,1999-01-05
110861,d006,1994-08-10,1999-08-09
110862,d006,1991-06-09,1999-06-07
110863,d006,1995-05-14,2001-05-12
110864,d006,1994-05-12,1999-05-11
110865,d006,1992-03-03,1997-03-02
110866,d006,1990-06-18,1994-12-23
110867,d006,1993-05-17,1998-05-16
110868,d006,1994-12-30,2000-12-28
110869,d006,1998-05-29,2000-11-27
